index,사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
1,9호선2~3단계,중앙보훈병원,13544,11720,20240404,
2,2호선,건대입구,38777,39681,20240404,
3,1호선,제기동,18217,18800,20240404,
4,1호선,신설동,15950,15448,20240404,
5,1호선,서울역,60149,55656,20240404,
6,1호선,시청,28537,28234,20240404,
7,1호선,종각,42514,41862,20240404,
8,1호선,종로3가,27556,24823,20240404,
9,2호선,구의(광진구청),27137,26734,20240404,
10,2호선,강변(동서울터미널),31683,29554,20240404,
11,2호선,잠실나루,17444,17019,20240404,
12,2호선,잠실(송파구청),83549,83471,20240404,
13,2호선,잠실새내,25227,24500,20240404,
14,2호선,종합운동장,7900,8820,20240404,
15,2호선,삼성(무역센터),55389,56260,20240404,
16,2호선,선릉,64269,56772,20240404,
17,2호선,역삼,59139,67340,20240404,
18,2호선,강남,86997,84729,20240404,
19,2호선,교대(법원.검찰청),34735,41577,20240404,
20,2호선,서초,25335,23190,20240404,
21,2호선,방배,20921,21451,20240404,
22,2호선,사당,40326,43965,20240404,
23,2호선,낙성대(강감찬),29605,29781,20240404,
24,2호선,서울대입구(관악구청),50605,49117,20240404,
25,2호선,봉천,26018,24847,20240404,
26,2호선,신림,57692,55241,20240404,
27,2호선,신대방,27572,26987,20240404,
28,2호선,구로디지털단지,63095,62619,20240404,
29,2호선,대림(구로구청),26995,27678,20240404,
30,2호선,신도림,52569,51406,20240404,
31,2호선,문래,25858,26348,20240404,
32,2호선,영등포구청,25298,26007,20240404,
33,2호선,당산,19989,23401,20240404,
34,2호선,합정,32892,34522,20240404,
35,2호선,홍대입구,71997,75619,20240404,
36,2호선,신촌,43078,44045,20240404,
37,2호선,이대,21078,23949,20240404,
38,2호선,아현,12194,11386,20240404,
39,2호선,충정로(경기대입구),11768,12352,20240404,
40,2호선,용답,3539,3668,20240404,
41,2호선,신답,1846,2099,20240404,
42,2호선,신설동,3726,3827,20240404,
43,2호선,도림천,1543,1650,20240404,
44,2호선,양천구청,7668,8136,20240404,
45,2호선,신정네거리,11326,11775,20240404,
46,2호선,용두(동대문구청),2709,2750,20240404,
47,3호선,지축,8123,8163,20240404,
48,3호선,구파발,23544,22430,20240404,
49,3호선,연신내,37177,35593,20240404,
50,3호선,불광,17971,19041,20240404,
51,3호선,녹번,17565,15932,20240404,
52,3호선,홍제,20707,19709,20240404,
53,3호선,무악재,4912,4907,20240404,
54,3호선,독립문,8198,8569,20240404,
55,3호선,경복궁(정부서울청사),29589,30369,20240404,
56,3호선,안국,28974,29404,20240404,
57,3호선,종로3가,12334,13851,20240404,
58,3호선,을지로3가,13242,13356,20240404,
59,3호선,충무로,2,0,20240404,
60,3호선,동대입구,12654,14499,20240404,
61,3호선,약수,14317,13906,20240404,
62,3호선,금호,8937,8262,20240404,
63,3호선,옥수,10031,10310,20240404,
64,3호선,압구정,33742,36318,20240404,
65,3호선,신사,29710,31033,20240404,
66,3호선,잠원,5932,5674,20240404,
67,3호선,고속터미널,40040,36758,20240404,
68,3호선,교대(법원.검찰청),18688,11496,20240404,
69,3호선,남부터미널(예술의전당),31266,32141,20240404,
70,3호선,양재(서초구청),42027,45820,20240404,
71,3호선,매봉,14623,14100,20240404,
72,3호선,도곡,6689,6656,20240404,
73,3호선,대치,13745,13559,20240404,
74,3호선,학여울,2225,2234,20240404,
75,3호선,대청,12201,11391,20240404,
76,3호선,일원,12505,12152,20240404,
77,3호선,수서,19930,20138,20240404,
78,3호선,가락시장,10155,9830,20240404,
79,3호선,경찰병원,8472,8517,20240404,
80,3호선,오금,7579,5605,20240404,
81,4호선,당고개,10265,8690,20240404,
82,4호선,상계,21304,19475,20240404,
83,4호선,노원,31111,34695,20240404,
84,4호선,창동,28610,29987,20240404,
85,4호선,쌍문,32379,30234,20240404,
86,4호선,수유(강북구청),36961,37520,20240404,
87,4호선,미아(서울사이버대학),17629,17396,20240404,
88,4호선,미아사거리,28877,28672,20240404,
89,4호선,길음,25227,25544,20240404,
90,4호선,성신여대입구(돈암),25517,24742,20240404,
91,4호선,한성대입구(삼선교),16295,15817,20240404,
92,4호선,혜화,34328,34496,20240404,
93,4호선,동대문,23239,23554,20240404,
94,4호선,동대문역사문화공원(DDP),20613,18382,20240404,
95,4호선,충무로,37544,37730,20240404,
96,4호선,명동,40054,42822,20240404,
97,4호선,회현(남대문시장),29513,31060,20240404,
98,4호선,서울역,14621,22431,20240404,
99,4호선,숙대입구(갈월),17609,17133,20240404,
100,4호선,삼각지,6258,6830,20240404,
101,4호선,신용산,20649,21968,20240404,
102,4호선,이촌(국립중앙박물관),8069,9231,20240404,
103,4호선,동작(현충원),1816,2015,20240404,
104,4호선,총신대입구(이수),21437,23147,20240404,
105,4호선,사당,26768,23857,20240404,
106,4호선,남태령,1439,1255,20240404,
107,5호선,방화,7753,7424,20240404,
108,5호선,개화산,6752,6500,20240404,
109,5호선,김포공항,10000,7553,20240404,
110,5호선,송정,7076,6641,20240404,
111,5호선,마곡,13707,13716,20240404,
112,5호선,발산,25421,25668,20240404,
113,5호선,우장산,16921,16529,20240404,
114,5호선,화곡,32192,30256,20240404,
115,5호선,까치산,31042,30196,20240404,
116,5호선,신정(은행정),15057,12375,20240404,
117,5호선,목동,18731,20125,20240404,
118,5호선,오목교(목동운동장앞),23084,24664,20240404,
119,5호선,양평,8919,8698,20240404,
120,5호선,영등포구청,5382,5439,20240404,
121,5호선,영등포시장,12391,12493,20240404,
122,5호선,신길,5498,5711,20240404,
123,5호선,여의도,32906,35638,20240404,
124,5호선,여의나루,22675,23761,20240404,
125,5호선,마포,17104,17241,20240404,
126,5호선,공덕,16928,17500,20240404,
127,5호선,애오개,7715,7678,20240404,
128,5호선,충정로(경기대입구),5398,5493,20240404,
129,5호선,서대문,23775,23795,20240404,
130,5호선,광화문(세종문화회관),35790,37403,20240404,
131,5호선,종로3가,15483,15147,20240404,
132,5호선,을지로4가,7614,7501,20240404,
133,5호선,동대문역사문화공원(DDP),3708,4094,20240404,
134,5호선,청구,4501,4294,20240404,
135,5호선,신금호,7262,7773,20240404,
136,5호선,행당,8991,8083,20240404,
137,5호선,왕십리(성동구청),4993,5589,20240404,
138,5호선,마장,6777,6443,20240404,
139,5호선,답십리,17724,16317,20240404,
140,5호선,장한평,21047,21064,20240404,
141,5호선,군자(능동),12584,14001,20240404,
142,5호선,아차산(어린이대공원후문),16450,15915,20240404,
143,5호선,광나루(장신대),15087,14144,20240404,
144,5호선,천호(풍납토성),19857,19605,20240404,
145,5호선,강동,19805,19617,20240404,
146,5호선,길동,9215,9505,20240404,
147,5호선,굽은다리(강동구민회관앞),10358,9914,20240404,
148,5호선,명일,9971,10270,20240404,
149,5호선,고덕,12149,11869,20240404,
150,5호선,상일동,16621,15831,20240404,
151,5호선,둔촌동,9738,9565,20240404,
152,5호선,올림픽공원(한국체대),5328,4672,20240404,
153,5호선,방이,8005,8392,20240404,
154,5호선,오금,4274,4310,20240404,
155,5호선,개롱,7497,7759,20240404,
156,5호선,거여,11481,11281,20240404,
157,5호선,마천,8718,7750,20240404,
158,5호선,강일,6799,6259,20240404,
159,5호선,미사,19075,19477,20240404,
160,5호선,하남풍산,4878,4893,20240404,
161,5호선,하남시청(덕풍·신장),8929,8559,20240404,
162,5호선,하남검단산,6756,6382,20240404,
163,6호선,응암,19766,19467,20240404,
164,6호선,역촌,4242,5022,20240404,
165,6호선,불광,4822,4878,20240404,
166,6호선,독바위,3141,3244,20240404,
167,6호선,연신내,6,0,20240404,
168,6호선,구산,9156,6894,20240404,
169,6호선,새절(신사),14933,14160,20240404,
170,6호선,증산(명지대앞),11099,11359,20240404,
171,6호선,디지털미디어시티,17184,18493,20240404,
172,6호선,월드컵경기장(성산),4734,4874,20240404,
173,6호선,마포구청,15985,14635,20240404,
174,6호선,망원,16374,17249,20240404,
175,6호선,합정,14328,13641,20240404,
176,6호선,상수,10862,11650,20240404,
177,6호선,광흥창(서강),10735,10242,20240404,
178,6호선,대흥(서강대앞),11214,11862,20240404,
179,6호선,공덕,21935,21287,20240404,
180,6호선,효창공원앞,8754,8279,20240404,
181,6호선,삼각지,7522,6647,20240404,
182,6호선,녹사평(용산구청),5281,5231,20240404,
183,6호선,이태원,11623,11815,20240404,
184,6호선,한강진,8943,10259,20240404,
185,6호선,버티고개,2506,2527,20240404,
186,6호선,약수,4079,3978,20240404,
187,6호선,청구,4261,4209,20240404,
188,6호선,신당,9231,9733,20240404,
189,6호선,동묘앞,9203,9698,20240404,
190,6호선,창신,4251,3755,20240404,
191,6호선,보문,8908,8469,20240404,
192,6호선,안암(고대병원앞),19373,19725,20240404,
193,6호선,고려대(종암),11463,11628,20240404,
194,6호선,월곡(동덕여대),15014,14601,20240404,
195,6호선,상월곡(한국과학기술연구원),7728,7468,20240404,
196,6호선,돌곶이,11426,10516,20240404,
197,6호선,석계,14066,14822,20240404,
198,6호선,태릉입구,6422,7734,20240404,
199,6호선,화랑대(서울여대입구),14948,11908,20240404,
200,6호선,봉화산(서울의료원),10197,9369,20240404,
201,7호선,장암,3171,1167,20240404,
202,7호선,도봉산,10592,12036,20240404,
203,7호선,수락산,13648,13221,20240404,
204,7호선,마들,14694,13638,20240404,
205,7호선,노원,26537,27600,20240404,
206,7호선,중계,16535,15490,20240404,
207,7호선,하계,20551,19327,20240404,
208,7호선,공릉(서울과학기술대),14086,14011,20240404,
209,7호선,태릉입구,10479,9992,20240404,
210,7호선,먹골,11408,11321,20240404,
211,7호선,중화,11761,11705,20240404,
212,7호선,상봉,18450,17533,20240404,
213,7호선,면목,17812,17348,20240404,
214,7호선,사가정,17798,18250,20240404,
215,7호선,용마산(용마폭포공원),6581,6347,20240404,
216,7호선,중곡,12157,11467,20240404,
217,7호선,군자(능동),16259,12960,20240404,
218,7호선,어린이대공원(세종대),21838,23467,20240404,
219,7호선,건대입구,15159,15683,20240404,
220,7호선,자양(뚝섬한강공원),13189,12843,20240404,
221,7호선,청담,21746,23589,20240404,
222,7호선,강남구청,17483,19096,20240404,
223,7호선,학동,27121,28158,20240404,
224,7호선,논현,20989,21258,20240404,
225,7호선,반포,6942,6763,20240404,
226,7호선,고속터미널,17248,14764,20240404,
227,7호선,내방,16770,16923,20240404,
228,7호선,이수,17882,17316,20240404,
229,7호선,남성,13068,12629,20240404,
230,7호선,숭실대입구(살피재),19160,19743,20240404,
231,7호선,상도,14315,14539,20240404,
232,7호선,장승배기,10486,10436,20240404,
233,7호선,신대방삼거리,16746,16188,20240404,
234,7호선,보라매,7695,7978,20240404,
235,7호선,신풍,12608,11742,20240404,
236,7호선,대림(구로구청),9709,9581,20240404,
237,7호선,남구로,17427,17971,20240404,
238,7호선,가산디지털단지,52283,52937,20240404,
239,7호선,철산,23896,24044,20240404,
240,7호선,광명사거리,22382,21974,20240404,
241,7호선,천왕,13191,12657,20240404,
242,7호선,온수(성공회대입구),12151,11161,20240404,
243,8호선,암사,20851,18409,20240404,
244,8호선,천호(풍납토성),15862,18190,20240404,
245,8호선,강동구청,11642,12055,20240404,
246,8호선,몽촌토성(평화의문),7550,7522,20240404,
247,8호선,잠실(송파구청),17244,19918,20240404,
248,8호선,석촌,9000,10436,20240404,
249,8호선,송파,10469,10368,20240404,
250,8호선,가락시장,8500,9446,20240404,
251,8호선,문정,25440,26818,20240404,
252,8호선,장지,18580,17014,20240404,
253,8호선,복정,11097,9547,20240404,
254,8호선,산성,6976,7087,20240404,
255,8호선,남한산성입구(성남법원.검찰청),16488,15438,20240404,
256,8호선,단대오거리,13904,13316,20240404,
257,8호선,신흥,5531,5824,20240404,
258,8호선,수진,6033,5601,20240404,
259,8호선,모란,5075,3882,20240404,
260,8호선,남위례,8245,8358,20240404,
261,9호선,개화,3379,2230,20240404,
262,9호선,김포공항,7451,9919,20240404,
263,9호선,공항시장,3337,3539,20240404,
264,9호선,신방화,7889,7730,20240404,
265,9호선,마곡나루(서울식물원),14710,14652,20240404,
266,9호선,양천향교,11508,11850,20240404,
267,9호선,가양,24715,24336,20240404,
268,9호선,증미,9290,9027,20240404,
269,9호선,등촌,13620,13127,20240404,
270,9호선,염창,19304,18728,20240404,
271,9호선,신목동,5080,4502,20240404,
272,9호선,선유도,10088,9548,20240404,
273,9호선,당산,21108,21110,20240404,
274,9호선,국회의사당,19878,20289,20240404,
275,9호선,여의도,33280,32547,20240404,
276,9호선,샛강,7552,7627,20240404,
277,9호선,노량진,27922,27509,20240404,
278,9호선,노들,5461,4592,20240404,
279,9호선,흑석(중앙대입구),12231,12350,20240404,
280,9호선,동작(현충원),2591,2028,20240404,
281,9호선,구반포,1461,1397,20240404,
282,9호선,신반포,4509,4526,20240404,
283,9호선,고속터미널,14637,19174,20240404,
284,9호선,사평,4367,4143,20240404,
285,9호선,신논현,32809,31995,20240404,
286,9호선2~3단계,언주,13023,13232,20240404,
