index,사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
1,5호선,애오개,2130,2279,20240104,
2,과천선,정부과천청사,3320,3414,20240104,
3,과천선,인덕원,8264,8843,20240104,
4,과천선,평촌,4908,4946,20240104,
5,과천선,범계,10865,10892,20240104,
6,분당선,선릉,2195,3272,20240104,
7,분당선,한티,5244,5520,20240104,
8,분당선,도곡,2351,2305,20240104,
9,분당선,구룡,932,1059,20240104,
10,분당선,개포동,1530,1631,20240104,
11,분당선,대모산입구,2019,2052,20240104,
12,분당선,수서,8031,6672,20240104,
13,분당선,수원,5796,4916,20240104,
14,분당선,서울숲,4907,4929,20240104,
15,분당선,압구정로데오,6451,5815,20240104,
16,분당선,강남구청,1853,2195,20240104,
17,분당선,선정릉,1391,1430,20240104,
18,분당선,가천대,2642,3452,20240104,
19,분당선,태평,6660,6619,20240104,
20,분당선,모란,8925,9635,20240104,
21,분당선,야탑,10794,10941,20240104,
22,분당선,서현,11784,11424,20240104,
23,분당선,수내,3988,4189,20240104,
24,분당선,정자,5328,5853,20240104,
25,분당선,미금,6037,6535,20240104,
26,분당선,오리,4008,3669,20240104,
27,분당선,이매,2256,2434,20240104,
28,분당선,보정,874,884,20240104,
29,분당선,죽전,5195,5955,20240104,
30,분당선,구성,1838,2016,20240104,
31,분당선,신갈,1480,1630,20240104,
32,분당선,기흥,4012,3882,20240104,
33,분당선,상갈,2339,2439,20240104,
34,분당선,청명,1523,1708,20240104,
35,분당선,영통,3975,4260,20240104,
36,분당선,망포,5209,6277,20240104,
37,분당선,매탄권선,2233,2401,20240104,
38,분당선,수원시청,6921,6127,20240104,
39,분당선,매교,2019,2029,20240104,
40,서해선,김포공항,2859,2961,20240104,
41,서해선,원종,2386,2423,20240104,
42,서해선,부천종합운동장,977,810,20240104,
43,수인선,고색,1694,2017,20240104,
44,수인선,오목천,1617,1818,20240104,
45,수인선,어천,836,1075,20240104,
46,수인선,야목,189,174,20240104,
47,수인선,사리,2612,2227,20240104,
48,수인선,달월,65,54,20240104,
49,수인선,월곶,1509,1333,20240104,
50,수인선,소래포구,4086,3858,20240104,
51,수인선,인천논현,2539,2663,20240104,
52,수인선,호구포,1475,1786,20240104,
53,수인선,남동인더스파크,478,526,20240104,
54,신림선,당곡,2018,2160,20240104,
55,안산선,정왕,5624,6223,20240104,
56,안산선,오이도,5529,5184,20240104,
57,안산선,수리산,1734,1651,20240104,
58,우이신설선,북한산우이,3508,3267,20240104,
59,우이신설선,솔밭공원,1287,1247,20240104,
60,우이신설선,4.19민주묘지,1584,1450,20240104,
61,우이신설선,가오리,2120,2046,20240104,
62,우이신설선,화계,1858,1738,20240104,
63,우이신설선,삼양,1013,1037,20240104,
64,우이신설선,삼양사거리,1294,1292,20240104,
65,우이신설선,솔샘,2465,2383,20240104,
66,우이신설선,북한산보국문,3041,2849,20240104,
67,중앙선,지평,54,32,20240104,
68,일산선,백석,4740,4624,20240104,
69,일산선,마두,2778,2893,20240104,
70,일산선,정발산,3618,3480,20240104,
71,일산선,주엽,4160,4050,20240104,
72,일산선,대화,4859,4356,20240104,
73,안산선,신길온천,1224,1105,20240104,
74,경원선,덕정,2801,3069,20240104,
75,경원선,덕계,2408,2140,20240104,
76,경원선,양주,4031,3974,20240104,
77,경원선,녹양,2185,2029,20240104,
78,중앙선,원덕,272,172,20240104,
79,중앙선,양평,2162,1826,20240104,
80,중앙선,오빈,188,146,20240104,
81,중앙선,아신,398,354,20240104,
82,중앙선,국수,425,420,20240104,
83,중앙선,신원,113,80,20240104,
84,중앙선,양수,1395,1281,20240104,
85,중앙선,운길산,711,714,20240104,
86,중앙선,팔당,872,852,20240104,
87,중앙선,도심,1015,877,20240104,
88,중앙선,덕소,2683,2472,20240104,
89,중앙선,양정,246,171,20240104,
90,중앙선,도농,4365,4382,20240104,
91,중앙선,구리,5909,6040,20240104,
92,중앙선,양원,1098,1147,20240104,
93,중앙선,망우,3771,3813,20240104,
94,중앙선,상봉(시외버스터미널),2937,3112,20240104,
95,중앙선,중랑,2598,2776,20240104,
96,중앙선,회기,11385,12385,20240104,
97,장항선,신창(순천향대),825,919,20240104,
98,장항선,온양온천,4222,4268,20240104,
99,장항선,배방,773,936,20240104,
100,장항선,탕정,854,914,20240104,
101,장항선,아산,3740,2447,20240104,
102,안산선,안산,10189,8683,20240104,
103,안산선,초지,2235,2132,20240104,
104,안산선,고잔,3611,3409,20240104,
105,안산선,중앙,10609,9998,20240104,
106,안산선,한대앞,4290,4289,20240104,
107,안산선,상록수,7466,7537,20240104,
108,안산선,반월,2062,2081,20240104,
109,안산선,대야미,2678,2487,20240104,
110,안산선,산본,7583,8207,20240104,
111,신림선,관악산(서울대),2461,2521,20240104,
112,신림선,서울대벤처타운,4823,5017,20240104,
113,신림선,서원,1656,1763,20240104,
114,신림선,신림,923,1375,20240104,
115,우이신설선,정릉,2276,2047,20240104,
116,우이신설선,성신여대입구(돈암),2011,2395,20240104,
117,우이신설선,보문,839,853,20240104,
118,우이신설선,신설동,1094,1007,20240104,
119,일산선,원흥,4574,4717,20240104,
120,일산선,지축,1,0,20240104,
121,일산선,삼송,9608,9602,20240104,
122,일산선,원당,4938,4836,20240104,
123,일산선,화정,8005,8327,20240104,
124,일산선,대곡,1255,1019,20240104,
125,분당선,복정,1,0,20240104,
126,중앙선,용문,1674,1352,20240104,
127,경원선,동두천중앙,1952,1846,20240104,
128,장항선,봉명,570,607,20240104,
129,장항선,쌍용(나사렛대),1304,1279,20240104,
130,경원선,지행,3978,3911,20240104,
131,신림선,보라매병원,2038,2025,20240104,
132,신림선,보라매공원,812,935,20240104,
133,신림선,보라매,1581,1576,20240104,
134,신림선,서울지방병무청,1222,1466,20240104,
135,신림선,대방,1229,1142,20240104,
136,신림선,샛강,705,831,20240104,
137,수인선,인천,1182,1669,20240104,
138,수인선,신포,1062,957,20240104,
139,수인선,숭의,1963,1704,20240104,
140,수인선,인하대,2765,2821,20240104,
141,수인선,송도,1421,1381,20240104,
142,수인선,연수,2622,2652,20240104,
143,수인선,원인재,2391,2390,20240104,
144,경춘선,갈매,1103,997,20240104,
145,경춘선,별내,1451,1484,20240104,
146,경춘선,퇴계원,1796,1725,20240104,
147,경춘선,사릉,905,966,20240104,
148,경춘선,금곡,675,655,20240104,
149,경춘선,평내호평,2665,2600,20240104,
150,경춘선,천마산,881,825,20240104,
151,경춘선,마석,2014,1947,20240104,
152,경춘선,대성리,490,354,20240104,
153,경춘선,청평,1406,1141,20240104,
154,경춘선,상천,179,135,20240104,
155,경춘선,가평,1663,1252,20240104,
156,경춘선,굴봉산,122,113,20240104,
157,경춘선,백양리,353,261,20240104,
158,경춘선,강촌,421,321,20240104,
159,경춘선,김유정,346,315,20240104,
160,경춘선,남춘천,2499,2436,20240104,
161,경춘선,춘천,1749,1243,20240104,
162,공항철도 1호선,서울역,12273,10779,20240104,
163,공항철도 1호선,공덕,1516,2111,20240104,
164,공항철도 1호선,홍대입구,11502,9496,20240104,
165,공항철도 1호선,디지털미디어시티,3408,3782,20240104,
166,공항철도 1호선,마곡나루(서울식물원),2654,3063,20240104,
167,공항철도 1호선,김포공항,8510,4586,20240104,
168,공항철도 1호선,계양,5578,5708,20240104,
169,공항철도 1호선,검암,3092,3206,20240104,
170,공항철도 1호선,청라국제도시,3282,3332,20240104,
171,공항철도 1호선,운서,6908,7323,20240104,
172,공항철도 1호선,공항화물청사,941,1014,20240104,
173,공항철도 1호선,인천공항1터미널,13616,14514,20240104,
174,공항철도 1호선,인천공항2터미널,6663,5901,20240104,
175,공항철도 1호선,영종,2746,2493,20240104,
176,과천선,선바위,2578,2401,20240104,
177,과천선,경마공원,345,377,20240104,
178,경인선,간석,2824,2694,20240104,
179,경인선,부개,4209,3668,20240104,
180,경인선,소사,3940,3675,20240104,
181,경인선,구일,2573,2704,20240104,
182,경인선,인천,3957,3108,20240104,
183,경인선,동인천,7609,7455,20240104,
184,경인선,제물포,4386,4341,20240104,
185,경인선,주안,10057,9065,20240104,
186,경인선,동암,8454,8128,20240104,
187,경인선,백운,3519,3485,20240104,
188,경인선,부평,19621,18704,20240104,
189,경인선,송내,10213,9848,20240104,
190,경인선,부천,19559,19189,20240104,
191,경인선,역곡,11483,11916,20240104,
192,경인선,오류동,5729,5790,20240104,
193,경인선,개봉,9617,9803,20240104,
194,경의선,계양,1,0,20240104,
195,경의선,운천,2,2,20240104,
196,경의선,임진강,49,33,20240104,
197,경의선,문산,3352,3571,20240104,
198,경의선,파주,619,614,20240104,
199,경의선,월롱,690,1355,20240104,
200,과천선,대공원,2569,2491,20240104,
201,경의선,금촌,4092,4632,20240104,
202,경의선,금릉,2756,2765,20240104,
203,경의선,운정,3219,3076,20240104,
204,경의선,야당,5224,4887,20240104,
205,경의선,탄현,3725,3473,20240104,
206,경의선,일산,4784,4489,20240104,
207,경의선,풍산,3097,2930,20240104,
208,경의선,백마,2952,2870,20240104,
209,경의선,곡산,302,281,20240104,
210,경의선,능곡,2294,2372,20240104,
211,경의선,행신,3858,3925,20240104,
212,경의선,강매,1176,1089,20240104,
213,경의선,화전,656,738,20240104,
214,경의선,수색,1035,1158,20240104,
215,경의선,디지털미디어시티,1251,1126,20240104,
216,경의선,가좌,2336,2610,20240104,
217,경의선,홍대입구,1401,1985,20240104,
218,경의선,서강대,943,1057,20240104,
219,경의선,공덕,1775,1523,20240104,
220,경의선,효창공원앞,1109,1416,20240104,
221,경인선,도원,1339,1415,20240104,
222,경의선,신촌,257,242,20240104,
223,경의선,서울역,1122,984,20240104,
224,경원선,연천,2296,2247,20240104,
225,경원선,전곡,1286,1132,20240104,
226,경원선,초성리,157,115,20240104,
227,경원선,소요산,2302,2328,20240104,
228,경원선,동두천,968,1078,20240104,
229,경원선,보산,1160,1262,20240104,
230,경원선,가능,3276,3140,20240104,
231,경원선,의정부,10974,11120,20240104,
232,경원선,회룡,5999,5892,20240104,
233,경원선,망월사,3410,3669,20240104,
234,경원선,도봉산,6631,4624,20240104,
235,경원선,도봉,2726,2679,20240104,
236,경원선,방학,4861,4692,20240104,
237,경원선,녹천,1920,1703,20240104,
238,경원선,월계,2962,2901,20240104,
239,경원선,광운대,3646,3939,20240104,
240,경원선,석계,3880,4397,20240104,
241,경원선,신이문,3915,3872,20240104,
242,경원선,외대앞,3986,4300,20240104,
243,경원선,청량리(서울시립대입구),13463,11115,20240104,
244,경원선,왕십리(성동구청),9279,9829,20240104,
245,경원선,응봉,1542,1598,20240104,
246,경원선,옥수,74,21,20240104,
247,경원선,한남,1534,1512,20240104,
248,경원선,서빙고,851,932,20240104,
249,경원선,이촌(국립중앙박물관),1647,1367,20240104,
250,경부선,광명,3105,1737,20240104,
251,경부선,서동탄,661,692,20240104,
252,경부선,당정,2386,2414,20240104,
253,경부선,천안,6676,6245,20240104,
254,경부선,두정,4421,4893,20240104,
255,경부선,직산,532,652,20240104,
256,경부선,성환,2487,3145,20240104,
257,경부선,평택,11494,12277,20240104,
258,경부선,평택지제,3279,3223,20240104,
259,경부선,서정리,4462,8014,20240104,
260,경부선,송탄,3204,4656,20240104,
261,경부선,진위,808,839,20240104,
262,경부선,오산,7635,8286,20240104,
263,경부선,오산대,1960,2081,20240104,
264,경부선,세마,1664,1633,20240104,
265,경부선,병점,8238,9614,20240104,
266,경부선,세류,2001,1882,20240104,
267,경부선,독산,4800,5443,20240104,
268,경부선,수원,33612,30786,20240104,
269,경부선,화서,3866,3784,20240104,
270,경부선,성균관대,6845,7469,20240104,
271,경부선,의왕,3366,3600,20240104,
272,경부선,군포,2457,2496,20240104,
273,경부선,금정,11662,12420,20240104,
274,경부선,명학,2344,2399,20240104,
275,경부선,안양,10944,10777,20240104,
276,경부선,관악,3593,3391,20240104,
277,경부선,석수,3928,3616,20240104,
278,경부선,금천구청,4756,4998,20240104,
279,경부선,가산디지털단지,4249,5870,20240104,
280,경부선,구로,8331,8509,20240104,
281,경부선,신길,3601,3596,20240104,
282,경부선,신도림,1516,1791,20240104,
283,경부선,영등포,28155,26681,20240104,
284,경부선,대방,3701,4593,20240104,
285,경부선,노량진,5712,5850,20240104,
286,경부선,용산,37168,30864,20240104,
287,경부선,남영,3428,3908,20240104,
288,경부선,서울역,11806,2155,20240104,
289,경강선,여주,2377,1890,20240104,
290,경강선,세종대왕릉,263,263,20240104,
291,경강선,부발,1306,1724,20240104,
292,경강선,이천,1969,2150,20240104,
293,경강선,신둔도예촌,760,664,20240104,
294,경강선,곤지암,1440,1614,20240104,
295,경강선,초월,1478,1448,20240104,
296,9호선,고속터미널,10854,12465,20240104,
297,9호선,신반포,1325,1348,20240104,
298,9호선,구반포,263,284,20240104,
299,9호선,동작(현충원),1537,1358,20240104,
300,9호선,흑석(중앙대입구),3243,3592,20240104,
301,9호선,노들,2207,1937,20240104,
302,9호선,노량진,12172,14191,20240104,
303,9호선,샛강,1821,1703,20240104,
304,9호선,여의도,5476,5098,20240104,
305,9호선,국회의사당,3696,3361,20240104,
306,9호선,당산,6972,7667,20240104,
307,9호선,선유도,2637,2814,20240104,
308,9호선,신목동,1507,1477,20240104,
309,9호선,염창,6585,7291,20240104,
310,9호선,등촌,4140,4553,20240104,
311,9호선,증미,2033,2279,20240104,
312,9호선,가양,7913,8674,20240104,
313,9호선,양천향교,3279,3951,20240104,
314,9호선,마곡나루(서울식물원),4387,5003,20240104,
315,9호선,신방화,2823,2964,20240104,
316,9호선,공항시장,1325,1642,20240104,
317,9호선,김포공항,6179,8218,20240104,
318,9호선,개화,967,875,20240104,
319,8호선,남위례,2420,2583,20240104,
320,8호선,모란,2614,2110,20240104,
321,8호선,수진,2395,2270,20240104,
322,8호선,신흥,2612,2882,20240104,
323,8호선,단대오거리,4854,5038,20240104,
324,8호선,남한산성입구(성남법원.검찰청),5174,5215,20240104,
325,8호선,산성,2969,2901,20240104,
326,8호선,복정,2961,2813,20240104,
327,8호선,장지,7633,7644,20240104,
328,8호선,문정,3831,4339,20240104,
329,8호선,가락시장,2665,3099,20240104,
330,8호선,송파,3493,3642,20240104,
331,8호선,석촌,3390,4408,20240104,
332,8호선,잠실(송파구청),10394,10577,20240104,
333,8호선,몽촌토성(평화의문),4125,4225,20240104,
334,8호선,강동구청,3718,3950,20240104,
335,8호선,천호(풍납토성),6713,7740,20240104,
336,경인선,온수(성공회대입구),2923,2729,20240104,
337,8호선,암사,7218,7295,20240104,
338,7호선,온수(성공회대입구),3022,3197,20240104,
339,7호선,천왕,4019,4223,20240104,
340,7호선,광명사거리,9745,9821,20240104,
341,7호선,철산,8100,8179,20240104,
342,7호선,가산디지털단지,8121,8190,20240104,
343,7호선,남구로,5994,5919,20240104,
344,7호선,대림(구로구청),7624,6986,20240104,
345,7호선,신풍,4446,4378,20240104,
346,7호선,보라매,2529,2898,20240104,
347,7호선,신대방삼거리,5981,6668,20240104,
348,7호선,장승배기,3440,3718,20240104,
349,7호선,상도,4283,4694,20240104,
350,7호선,숭실대입구(살피재),4385,5230,20240104,
